"Species","BARB_H","BARB_M","BARB_EXT","BARB_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Loriotus luctuosus",0,4,NA,1,-0.692811341151788,-0.561854774849546,-0.292153807149126,-0.585866721193127,-0.45253349194841,-0.390577987422837,-0.440031667415515,-1.17389268892838,0.655026930308398,-0.104937225675366,-0.241706275315242,-0.0794313495680059,-0.137685853065146,-0.108674051909833
"Machaeropterus deliciosus",12,0,1,NA,-0.710505745032612,-0.700326320184699,-0.555349511887091,-0.595998132644102,-1.03167231531791,-0.421522837624734,-0.25237769743806,-1.62946684560655,0.57260778999125,0.0226533993952843,0.22219759138919,0.179997683261573,-0.113926922704527,-0.195074803075936
"Malacoptila panamensis",6,12,NA,NA,0.20671524340668,0.320901326662057,0.808482776300546,-0.219688564465026,-0.103087015474609,-0.341066227099803,-0.122961166419125,0.280205083008805,0.0844446447436446,-0.774458001452676,-0.197358252343249,0.322220641199099,-0.0110342471292796,0.17712792401759
"Manacus manacus",26,96,NA,NA,-0.502994233454077,-0.706095967906997,-0.411788218393655,-0.729153825999775,-0.868728171793611,-0.167775065969183,-0.55003571878161,-1.31779950370942,0.941784797578129,0.0341821686120477,0.209668752900013,0.115500931855062,-0.171038172968936,0.0501609993088725
"Masius chrysopterus",5,0,1,NA,-0.785728683088471,-0.775331740574574,-0.555349511887091,-0.630734400476017,-0.686152203748311,-0.409144897543975,-0.750631341860958,-1.4934433497742,1.01209688913664,0.0268736847586876,-0.154166609034853,-0.0236190507886819,-0.0616078831133008,-0.244020962347227
"Megaceryle torquata",0,1,NA,1,1.72780813603964,3.4538200398699,2.10053441774147,1.28410236375828,0.847093291341795,-0.576247088634216,0.00645536459980937,3.56836481766548,-1.19486991365957,-2.41881289767279,0.0554768346134865,0.228137825942636,1.42781491083859,-0.447956480130855
"Megascops centralis",0,1,NA,1,0.978862200819741,-0.13490084339949,0.210310720077898,0.925160929495163,0.00488801939089167,0.166429316211299,0.0905761097621169,1.06064973622415,-0.0819044073137757,0.666498168604167,0.121923745762627,0.681895640451337,0.240442251479212,-0.199151614865676
"Melanerpes pucherani",6,4,NA,NA,0.496004817667443,0.130502951826221,0.114603191082274,0.11609535791015,-0.38185892367281,-0.260609616574872,0.0582219770073833,0.138717848976685,-0.0374757200013985,-0.0991165387374684,0.207411462153665,0.465407049638833,0.352205969058818,0.00924968931188996
"Microbates cinereiventris",5,16,NA,NA,-0.759815872667106,-0.215675911511662,-0.651057040882715,-0.717575070055803,-0.978666389111212,-0.0316177250808385,-0.815339607370426,-1.30217612722423,1.12562660993294,-0.186037709686693,0.534470039766644,-0.319818222468145,-0.0345616253836712,-0.23228741936095
"Microcerculus marginatus",7,17,NA,NA,-0.437807150947392,-0.261833093290047,-0.651057040882715,-0.635076433955006,-1.03756186267421,-0.00686184491932138,-0.828281260472319,-1.14575456460126,1.15297353592225,-0.0674653595590677,0.625487002896186,-0.0990334826069494,0.102702024441451,-0.145010420937751
"Micromonacha lanceolata",1,0,1,NA,-0.373948269435052,-0.0368168321204227,0.018895662086651,-0.574287965249155,-0.692041751104611,-0.662892669199526,-0.058252900909658,-1.00164073789688,0.136608110230589,-0.622387543668186,0.0154230789266467,0.22323000799151,0.118194327236821,-0.0172796872458441
"Microrhopias quixensis",0,4,NA,1,-1.07029915663156,-0.469540411292777,-0.483568865140373,-0.717575070055803,-0.47805486382571,-0.440089747745872,-0.427090014313622,-1.48410318399796,0.631470059290162,-0.205693324318155,-0.234320535033806,-0.383156119862655,-0.175621550973277,-0.228537183052563
"Mionectes oleagineus",0,9,NA,1,-0.805761810875825,-0.688787024740103,-0.459641982891467,-0.60902423308107,-0.56639807417021,-0.471034597947768,-0.472385800170249,-1.43089972753387,0.702145497290041,-0.0315849049994704,-0.237285305768643,-0.0611171501811681,-0.104030856239676,-0.193868452574009
"Mionectes olivaceus",6,25,NA,NA,-0.569350730835511,-0.481079706737373,-0.483568865140373,-0.527972941473269,-0.50161305325091,-0.421522837624734,-0.478856626721196,-1.16652307479536,0.662227610489049,-0.0369162768754814,-0.14141448393438,-0.0777135886446437,0.0846365612410729,-0.150349316490582
"Mitrospingus cassinii",13,2,NA,NA,0.166529278175978,-0.123361547954893,-0.172519395904596,-0.276134999691887,-0.0756024611452085,0.110728585847885,-0.763572994962852,0.0110408861544416,0.930765795885214,0.0824817235572853,-0.00739468859508105,-0.126696153898154,0.199437197137301,0.123717623768632
"Mniotilta varia",0,1,NA,1,-0.826338890427876,-0.57916371801644,-0.770691452127244,-0.488894640162365,-0.59780899340381,-0.390577987422837,0.0711636301092767,-1.49218782848654,0.194352017369792,0.225696577700862,0.0142573527713289,-0.227344954962296,-0.0667335500444605,-0.197624706173187
"Molothrus bonariensis",2,6,NA,NA,0.186888584523737,-0.232984854678557,0.0906763088333687,0.105963946459175,0.110899871804292,0.116917555888264,0.187638508026318,0.248742636681712,-0.0136586416897158,0.348367172617243,-0.106512396584717,0.0418027680617787,-0.14877377768358,0.131671111088932
"Mustelirallus colombianus",3,0,1,NA,0.44449716173575,-0.129131195677192,-0.651057040882715,-0.0807434931373669,-0.923697280452411,0.271641806897747,-0.0453112478077645,-0.328932298925908,0.397368049262726,0.499250295185389,1.00025927363139,0.251054301387197,0.302652887127365,0.0970031059727801
"Myiobius barbatus",5,14,NA,NA,-0.819417601471043,-0.625320899794824,-0.435715100642562,-0.580077343221141,-0.44664394459211,-0.54530223843232,-0.491798279823089,-1.3724226278614,0.662063372958763,-0.0889340337414457,-0.364308577628104,-0.109915330115615,-0.0431259471419775,-0.227887987648122
"Myiopagis caniceps",0,1,NA,1,-0.854673998950953,-0.706095967906997,-0.627130158633809,-0.637971122940999,-0.51928169531981,-0.45246768782663,-0.381794228456995,-1.51445209345045,0.632962980292967,0.0788466327576959,-0.230536340316644,-0.184803999325929,-0.0724207686302343,-0.169349107054314
"Myiophobus fasciatus",0,2,NA,1,-0.899267794297169,-0.584933365738738,-0.244300042651314,-0.62928705598302,-0.44860712704421,-0.440089747745872,-0.388265055007941,-1.30656731107823,0.599197649593035,-0.184599138829915,-0.317097190612167,-0.144219363513124,-0.261136010768838,-0.165217093664203
"Myiornis atricapillus",1,10,NA,NA,-1.31766725328491,-0.694556672462401,-0.555349511887091,-0.985333801260146,-1.19657964129431,-0.669081639239906,-0.614743984291077,-2.24547527203432,0.90512753454306,-0.440421743086858,0.0595880450171595,-0.0347252315908548,-0.225449018111482,-0.354135748649886
"Myiothlypis bivittata",2,0,1,NA,-0.604843042986089,-0.527236888515757,-0.507495747389279,-0.548235764375219,-0.330816179918209,-0.0873184554442522,-0.653568943596757,-0.959531504674256,0.923882792562978,0.139299189904746,-0.111643903685862,-0.321358332965304,-0.0932931461504749,-0.0792589062617308
"Myiothlypis fulvicauda",12,6,NA,NA,-0.589428087030185,-0.544545831682651,-0.38786133614475,-0.568498587277169,-0.53695033738871,-0.0687515453231143,-0.58886067808729,-1.01405678557056,0.899785193441721,0.0636685374227638,0.044621253672908,-0.162318887407148,-0.195888924991358,-0.064513063293705
"Myiotriccus ornatus",7,0,1,NA,-0.899267794297169,-0.613781604350228,-0.316080689398032,-0.593103443658109,-0.58799308114331,-0.532924298351561,-0.323556789498474,-1.4413372414791,0.524708324822006,-0.171646411823194,-0.251942003000473,-0.0392007944077157,-0.198025015832192,-0.232124252858167
"Myiozetetes cayanensis",1,36,NA,NA,-0.170412343500738,-0.538776183960353,-0.172519395904596,-0.267450932733909,-0.110939745283009,-0.19871991617108,-0.582389851536343,-0.470649580010233,0.747154748616018,0.159310870726892,-0.351323283202392,0.0382087447116229,0.0234836496664632,-0.0287293716243291
"Myiozetetes granadensis",1,1,NA,NA,-0.076932486973248,-0.34260816140222,-0.100738749157879,-0.231267320408997,-0.201246138079609,-0.359633137220941,-0.53062323912877,-0.439521762822119,0.60936455226633,-0.0451387203444479,-0.299676340990541,0.153203821797051,0.185468614384594,-0.0745932003992287
"Myrmothera dives",5,0,1,NA,0.23122144825319,-0.169518729733278,-0.220373160402408,-0.393369903624599,-0.843206799916311,0.791515290289607,-1.11299762871398,-0.0271903725636556,1.58686264097921,0.208699691518421,0.97566321305023,-0.0110307501600599,-0.155480781311074,0.161655263756835
