"Species","FUSA_H","FUSA_M","FUSA_EXT","FUSA_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Pachyramphus versicolor",3,4,NA,NA,-0.559508048682603,-0.642629842961718,-0.220373160402408,-0.549683108868216,-0.49768668834671,-0.45865665786701,-0.245906870887113,-0.94011137757822,0.315643264604137,-0.271378018380256,-0.20886722191707,0.392749320930415,-0.0766671599057408,0.017409278646176
"Phaeomyias murina",1,0,1,NA,-0.891650887234226,-0.723404911073891,-0.507495747389279,-0.678496768744899,-0.49179714099041,-0.303932406857527,-0.58886067808729,-1.26433486157013,0.762857816212129,-0.310417339941941,-0.110540918298729,0.00766149472159663,-0.216568550945853,-0.185896725001475
"Phylloscartes ophthalmicus",0,2,NA,1,-0.954843796934467,-0.752253149685381,-0.579276394135997,-0.622050333518038,-0.40149074819381,-0.514357388230423,-0.511210759475929,-1.38474588883042,0.601812654685877,-0.189418236453082,-0.350475126970324,-0.0215352709668448,-0.0917653429770765,-0.296274161461452
"Phylloscartes poecilotis",1,0,1,NA,-1.06076600108022,-0.694556672462401,-0.770691452127244,-0.65389191236396,-0.48590759363411,-0.495790478109286,-0.491798279823089,-1.58462481077855,0.600263269983473,-0.19413807135079,-0.182426814467085,-0.175333299636027,-0.0383739238939119,-0.354296909540077
"Piaya cayana",0,1,NA,1,0.86843073465584,0.465142519719508,0.569213953811487,0.627007963937895,3.9665902077287,0.68011382956278,-0.860635393227053,4.96274003622836,0.39005309038509,1.60665893033926,-3.08380897378094,-2.53632485110489,-0.48929532051312,0.139373514396099
"Pionus chalcopterus",3,0,1,NA,1.41571921434351,0.563226530998575,2.05268065324365,1.26239219636334,0.00881438429509174,-0.477223567988148,0.433529916962294,3.35235135068035,-1.7390399149858,-0.276802544467867,-0.496453709199425,2.32678208182215,0.645019367755606,-0.310744995682145
"Pionus tumultuosus",3,0,1,NA,1.51375502190074,0.332440622106653,1.86126559525241,1.18568293823452,0.0441516684328918,-0.28536549673639,0.750600417958684,3.25440070846739,-1.68030702141184,0.135252099819463,-0.306117525528976,2.26281140664378,0.46939476690823,-0.00813719057696249
"Pipraeidea melanonota",5,1,NA,NA,-0.329354474088836,-0.642629842961718,-0.316080689398032,-0.325344712453766,-0.37793255876861,-0.353444167180562,0.135871895618744,-0.608795615075914,0.0434596243107022,0.204087150393476,-0.0596121254972759,0.398601831796869,-0.00652712552821064,0.0716687871776414
"Pipreola riefferii",8,11,NA,NA,0.317418041707877,-0.411843934069796,-0.220373160402408,-0.200873086056072,-0.0697129137889085,-0.0811294854038728,-0.465914973619302,0.423998078803791,0.522227085801474,0.171809699740305,-0.0852081894535718,0.281878187821992,0.387608539111499,0.307871830432791
"Piranga leucoptera",1,0,1,NA,-0.535446476218105,-0.458001115848181,0.138530073331181,-0.435342893921496,-0.35830073424761,-0.328688287019045,-0.265319350539953,-0.43243395496385,0.188445391176469,-0.446584130445302,-0.276225543392658,0.42518527522989,-0.290216925457978,-0.0741683455038827
