"Species","SAGU_H","SAGU_M","SAGU_EXT","SAGU_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Stilpnia larvata",1,0,1,NA,-0.371280016258554,-0.687006832989744,-0.37093602522314,-0.486269161137394,-0.605524509144109,-0.339545740626585,-0.191640623469897,-0.987894797077419,0.490396712654876,-0.0364739899586914,-0.0461933332241889,0.321995883465381,0.0393571262355135,0.059926878673797
"Stilpnia vitriolina",19,24,NA,NA,-0.265694584365766,-0.664412255792257,-0.0891249223968905,-0.431897689219216,-0.391854865085696,-0.20473495388091,-0.224171471617853,-0.607021319192107,0.509751863991756,-0.0893542620408481,-0.213284040525503,0.352659938203123,-0.140537690876551,0.120979560050738
"Streptoprocne rutila",0,4,NA,1,-0.363762877023412,-0.952493115060224,-0.582294352342827,0.382243561345084,-0.636048744009596,-0.719467048728031,3.03541951280733,-1.3235055384335,-2.34868853716166,1.3911557110911,0.117777530054791,1.17570586341454,-0.212001659707285,0.111817402565372
"Streptoprocne zonaris",0,9,NA,1,0.737649527620835,-0.540142081206075,-0.206546215241161,1.5626768332529,-0.202986161855492,-0.0821796932030242,2.690592522439,0.706274278926368,-2.2366817785398,1.73685703841013,0.389992410075269,1.5763839164949,0.175864211555441,-0.175812080951369
"Sturnella magna",0,7,NA,1,0.779959926175728,0.53874897997396,-0.0186721466903282,0.0688921837113732,-0.199170632497306,0.984051074694583,0.0295691439362035,1.33768445900165,0.176090721217868,-0.221326680166313,1.15985805870894,0.159522028073814,-0.0917370216394846,0.508141769917616
"Synallaxis albescens",0,2,NA,1,-0.809313326330733,-0.619223101397281,-0.723199903755952,-0.699462564184987,-0.0217485173416599,-0.278268110287642,-0.686109515318826,-1.10016681450692,0.913110182419081,0.110401492120037,-0.16195416836232,-0.573720576604487,-0.107494845742071,-0.121927942004752
"Synallaxis azarae",8,31,NA,NA,-0.498514625111438,-0.461061061014868,-0.723199903755952,-0.70518587701848,0.243430773052263,-0.155712849609756,-0.660084836800462,-0.716171127199699,0.884492824177258,0.193755183787364,-0.126894036061825,-0.739406944458877,-0.0320423492408548,0.119152900050227
"Synallaxis brachyura",2,18,NA,NA,-0.438389001046394,-0.432817839518008,-0.652747128049389,-0.649383576891928,-0.0217485173416599,-0.149585086575861,-0.76418355087392,-0.713546760580064,0.957032981902393,0.0245493838114507,-0.0163426630036516,-0.516480694916045,0.0592036094968106,0.058465486604177
"Syndactyla subalaris",2,3,NA,NA,-0.0931858438349324,-0.0713046043582065,-0.417904542360848,-0.221565942588368,0.125149362948499,-0.112818508372496,-0.438875069394361,-0.0263234660858997,0.449703711113074,0.0119956356254753,0.0273299642942253,-0.393056333294708,0.23440937143665,-0.00393164220221642
"Tachyphonus rufus",10,6,NA,NA,0.0384276874240409,-0.297250376333083,-0.0186721466903282,-0.290245696590278,-0.012209693946195,-0.100562982304707,-0.529961444208638,0.047589601171273,0.611309088022311,-0.176295286423522,-0.234475805630571,0.0262357503981211,0.0764970922031928,0.139635878287516
