"Species","Abundance","Period","Di"
"Phaethornis bourcieri",3,"MODERN",4.53978653586778
"Phaethornis malaris",2,"MODERN",4.42454615935658
"Pheugopedius coraya",1,"MODERN",2.73757910410066
"Phimosus infuscatus",1,"MODERN",6.6936930393235
"Piaya cayana",5,"MODERN",4.80021341351251
"Picumnus lafresnayi",10,"MODERN",3.18511420537755
"Picumnus squamulatus",1,"MODERN",3.0395466734369
"Pitangus lictor",5,"MODERN",2.49210375975765
"Pitangus sulphuratus",15,"MODERN",2.76494649819488
"Poecilotriccus latirostris",23,"MODERN",3.04278815697946
"Psarocolius angustifrons",34,"MODERN",4.27486333269062
"Psarocolius decumanus",14,"MODERN",4.12970042545135
"Pteroglossus castanotis",15,"MODERN",7.61593846634355
"Pteroglossus pluricinctus",3,"MODERN",7.49102346267937
"Ramphastos tucanus",1,"MODERN",11.645951969436
"Ramphocelus carbo",97,"MODERN",2.55338727801144
"Ramphocelus nigrogularis",2,"MODERN",2.50055508100385
"Ramphotrigon megacephalum",1,"MODERN",2.72431580568698
"Rhynchocyclus olivaceus",5,"MODERN",2.72354262807563
"Rupornis magnirostris",21,"MODERN",4.32829605618637
"Saltator coerulescens",3,"MODERN",2.6946989681697
"Saltator maximus",18,"MODERN",2.63619642437983
"Schiffornis major",2,"MODERN",2.6551108042757
"Schistochlamys melanopis",2,"MODERN",2.5413403372303
"Sicalis flaveola",6,"MODERN",2.63204967811643
"Sporophila angolensis",17,"MODERN",2.78645556550319
"Sporophila castaneiventris",2,"MODERN",3.04141763320253
"Sporophila murallae",2,"MODERN",2.8565443988794
"Stelgidopteryx ruficollis",1,"MODERN",3.43763905191311
"Synallaxis albigularis",2,"MODERN",2.83125581678501
"Syrigma sibilatrix",6,"MODERN",6.07321744427142
"Tachornis squamata",7,"MODERN",4.26213738427545
"Tachycineta albiventer",5,"MODERN",3.39403243930343
"Tachyphonus rufus",3,"MODERN",2.49567499761786
"Tangara gyrola",5,"MODERN",2.59705470975424
"Tangara mexicana",13,"MODERN",2.65023777691815
"Tapera naevia",5,"MODERN",2.93982108984895
"Thalurania furcata",3,"MODERN",4.41081582481771
"Thraupis episcopus",35,"MODERN",2.51615652853187
"Thraupis palmarum",19,"MODERN",2.49950938861787
"Tigrisoma lineatum",3,"MODERN",7.89222526834822
"Tityra cayana",4,"MODERN",2.89866098188496
"Todirostrum chrysocrotaphum",15,"MODERN",3.09293481378976
"Todirostrum cinereum",5,"MODERN",3.10607317028381
"Tolmomyias flaviventris",5,"MODERN",2.76331168849457
"Tolmomyias poliocephalus",29,"MODERN",2.84212109387242
"Tolmomyias sulphurescens",5,"MODERN",2.67540809712658
"Troglodytes aedon",4,"MODERN",2.96077173681819
"Trogon viridis",18,"MODERN",3.3761122016708
"Turdus ignobilis",24,"MODERN",2.6565717647273
"Tyrannulus elatus",10,"MODERN",3.1628072480222
"Tyrannus melancholicus",68,"MODERN",2.68077112544255
"Vanellus cayanus",2,"MODERN",3.42642495607251
"Vanellus chilensis",12,"MODERN",4.66479985353995
"Volatinia jacarina",25,"MODERN",2.96494596543526
"Zimmerius gracilipes",3,"MODERN",3.16983195232368
